Bien
id;No voie;Type de voie;Voie;Surface Carrez du 1er lot;Type local;Surface reelle bati;Nombre pieces principales
;1;RUE;DE LA TOUR GRISE;39,61;Appartement;39;2
;5;RES;DE FONTENELLE;116,41;Maison;122;4
;41;RUE;MARCEL SEMBAT;28,03;Appartement;29;2
;10;RUE;ANTAR;55,38;Maison;45;2
;3;RUE;DE LA BRASSERIE ST ROCH;56,8;Appartement;57;3
;8;RUE;DU COMMERCE;110,88;Maison;100;5
;66;RUE;CASTOR;61,52;Appartement;61;3
;6;ALL;DU BEL AIR;67,96;Appartement;71;4
;31;RUE;DE LA SANGLE;32,17;Appartement;32;2
;1;ALL;DU BRIQUETIER;75,17;Appartement;72;4
;5;BD;DES CYGNES;55,71;Appartement;55;3
;4;RUE;DE LA MARE LISERON;39,1;Appartement;39;2
;10;RUE;DE NORMANDIE;66,66;Appartement;67;4
;10;RUE;ARMAND CASSAN;56,73;Appartement;71;3
;26;RUE;MAURICE FRICOTTE;137,31;Maison;136;4
;14;RUE;PASTEUR;69,51;Maison;70;3
;26;RUE;DE LA FAIENCERIE;74,21;Appartement;71;3
;4;RUE;DE LA BRASSERIE ST ROCH;70,22;Appartement;70;3
;47;RUE;DU CLOS SCELLIER;67,16;Appartement;68;3
;111;BD;ROGER SALENGRO;59,01;Appartement;59;3
;6;RUE;DE LA SOMME;77,94;Appartement;78;4
;6;RUE;DE LA SOMME;42,29;Appartement;41;2
;29;RUE;EMILE REAUBOURG;84,47;Appartement;84;4
;10;RUE;DU VIEUX PILORI;27,12;Appartement;27;1
;1;SQ;DU JURANCON;27,81;Appartement;28;1
;1;SQ;DU JURANCON;27,44;Appartement;28;1
;3;ALL;ROSA BONHEUR;44,43;Appartement;44;2
;3;RUE;DE LA POSTE;41,26;Maison;36;1
;25;VC;LES NOUVEAUX HORIZONS;46,19;Appartement;47;2
;6;RES;LES QUATRE VENTS;98,69;Appartement;97;5
;3;IMP;RAOUL DUFY;39,45;Appartement;39;2
;2;SQ;DES BRUYERES;49,66;Appartement;47;2
;3;SQ;DU JURANCON;67;Appartement;67;3
;4;SQ;D ANGIVILLER;20,04;Appartement;20;1
;38;RUE;HENRI HUSSON;36,74;Appartement;37;1
;5;RUE;SIMONE DE BEAUVOIR;30,31;Appartement;29;1
;9;AV;DE TOURAINE;78,97;Appartement;78;4
;34;VC;LES NOUVEAUX HORIZONS;85,06;Appartement;85;4
;6;GR;GRANDE RUE;93;Maison;65;3
;30;ALL;LOUIS PASTEUR;132,96;Maison;126;6
;4;RUE;DU VERT BUISSON;60,98;Appartement;59;3
;74;RUE;DE LA PORTE ST MARTIN;28,26;Appartement;29;1
;21;ALL;ANDRE  LE NOTRE;31,18;Appartement;31;1
;9;ALL;AUX LAPINS;31,69;Appartement;32;1
;19;;LA VILLEPARC;76,07;Appartement;72;3
;13;RUE;DES CHEVREFEUILLES;106,06;Maison;105;5
;3;RUE;LOUIS PASTEUR;101,85;Maison;107;6
;32;GR;GRANDE RUE;146,58;Appartement;100;3
;75;AV;DU MARECHAL LECLERC;61,52;Appartement;64;3
;27;RUE;DE LA SABLIERE;61,56;Appartement;61;3
;7;RUE;COUPE;88,82;Appartement;85;4
;34;ALL;DES POMMIERS;101,34;Maison;92;4
;70;RUE;DE GROUSSAY;27,68;Appartement;27;1
;5;RUE;DU MONTMIDI;111,1;Appartement;110;5
;4;AV;DE NOAILLES;61,46;Appartement;60;2
;43;VC;LES NOUVEAUX HORIZONS;105,31;Appartement;106;5
;10;RUE;LACHAUX;28,95;Appartement;32;2
;14;PL;DU SANCERROIS;23,54;Appartement;23;1
;48;RUE;BASSE;18;Appartement;36;1
;3;IMP;RAOUL DUFY;81,8;Appartement;81;4
;6;IMP;DES FONTAINES;87,55;Maison;78;4
;3;CHE;DU VIEIL ETANG;221,92;Maison;221;7
;29;RUE;DE BRIE;49,08;Appartement;48;2
;10;RUE;CHESNEAU;50,22;Appartement;37;3
;93;AV;DE LA GRANDE ILE;45,47;Appartement;45;2
;9;SQ;FRANCIS JAMMES;34,92;Appartement;34;1
;80;RUE;DE GROUSSAY;42,04;Appartement;42;2
;19;RES;DU BOIS DU FOUR;68,86;Appartement;72;4
;1;AV;PAUL CEZANNE;94,96;Appartement;91;5
;2;ALL;DE LA MEUSE;53,23;Appartement;53;2
;34;RUE;NATIONALE;14,2;Appartement;30;1
;14;RUE;DE BRUXELLES;64,16;Appartement;64;3
;24;VC;LES NOUVEAUX HORIZONS;34,62;Appartement;34;1
;;;LA PORTE D ANDIN;69,4;Appartement;69;3
;16;AV;DE LA GRANDE ILE;47,92;Appartement;48;2
;20;RUE;DES ECOLES;28,1;Appartement;33;2
;1;AV;DES SOLITAIRES;85,44;Appartement;81;4
;2;RUE;COUPE;22,29;Appartement;46;1
;4;AV;DE LA GARE;17,05;Appartement;18;1
;14;RUE;VINCENT VAN GOGH;58,2;Appartement;58;3
;10;IMP;PEUPLIERS;120,27;Maison;103;4
;18;RES;DU BOIS DU FOUR;70,06;Appartement;67;4
;18;RUE;LACHAUX;38,46;Appartement;38;1
;8;RUE;ANTOINETTE VERNES;70,94;Appartement;73;3
;41;RUE;RAYMOND PATENOTRE;43,04;Appartement;42;2
;38;RUE;DE LA MOTTE;57,6;Appartement;59;2
;11;RUE;DU TREMBLAY;96,53;Maison;110;4
;6;VLA;EMMANUEL FREMIET;88,88;Appartement;88;3
;7;SQ;DE LA PROVIDENCE;72,43;Appartement;73;3
;3;RES;LES COUDRAYS;70,32;Appartement;71;3
;11;RUE;D ALSACE LORRAINE;99,08;Maison;80;4
;77;RUE;EMILE FONTANIER;49,4;Appartement;39;2
;23;RUE;D ANGIVILLER;18,29;Appartement;20;1
;24;RUE;DES VIGNETTES;146,12;Maison;148;3
;6;ALL;DES TILLEULS;162,15;Maison;130;5
;74;RUE;DU GENERAL DE GAULLE;30,56;Appartement;40;2
;11;SEN;DE LA COTE RONDE;95;Maison;105;5
;7;RUE;COUPE;71,63;Appartement;71;3
;12;CITE;DE LA CLAIRIERE;123,05;Maison;124;5
;5;RUE;LALANDE;23,49;Appartement;27;1
;37;RUE;LAMARTINE;26,25;Appartement;27;1
;2;SQ;DES BRUYERES;81,27;Appartement;79;4
;1;AV;DES BUISSONS;31,45;Appartement;31;1
;12;RUE;PAUL GAUGUIN;23,06;Appartement;81;4
;14;GR;GRANDE RUE;56,34;Appartement;55;2
;1;RUE;DES ROSIERS;45,4;Appartement;35;1
;14;PL;DES ARDENNES;87,8;Appartement;82;4
;1;RUE;DE LA CITE;43,27;Appartement;43;2
;1;IMP;DE CAMARGUE;89;Appartement;89;4
;81;AV;DE LA GRANDE ILE;45,8;Appartement;45;2
;13;RUE;DES DOUVES;32,02;Appartement;32;2
;12;RUE;SOPHIE DE GROUCHY;52,28;Appartement;52;2
;5;SQ;DE NOZEROY;48,49;Appartement;47;2
;16;ALL;D ARGONNE;101,49;Appartement;102;5
;1;RUE;DE LA CITE;44,04;Appartement;44;2
;25;RUE;DE LA RIGOLE;86,06;Maison;90;5
;31;RES;DU BOIS DU FOUR;83,9;Appartement;96;5
;5;RUE;DE BRETAGNE;48,05;Appartement;48;3
;13;ALL;ANDRE  LE NOTRE;40,8;Appartement;39;1
;7;SQ;DES PERRAYADES;37,4;Appartement;37;2
;15;RUE;NATIONALE;27,99;Appartement;40;2
;27;RUE;BASSE;47,94;Appartement;50;2
;28;VC;LES NOUVEAUX HORIZONS;84,35;Appartement;87;4
;3;RUE;DU MARQUENTERRE;119,78;Maison;93;4
;8;PL;DE L ANCIENNE ORANGERIE;38,27;Appartement;31;1
;12;RES;LA CHAPELLE;99,16;Appartement;100;5
;12;RUE;D ANGIVILLER;51,8;Appartement;55;2
;5003;ALL;JULES VERNE;82,45;Appartement;83;3
;22;RUE;DE PARIS;31,13;Appartement;35;1
;69;PL;DE LA NIVEROLLE;164,08;Maison;169;8
;2;RES;LENOTRE;51;Appartement;51;2
;33;RUE;D ANGIVILLER;49,54;Appartement;30;3
;45;RUE;RAYMOND PATENOTRE;69,48;Appartement;71;3
;14;RUE;DES CHEVREFEUILLES;80;Maison;78;4
;15;RES;GD VENEUR RUE G LENOTRE;76,48;Appartement;80;3
;1;RUE;D AUVERGNE;15,62;Appartement;15;1
;10;RUE;DE BISSY;79,98;Maison;81;4
;1;RUE;DE COPENHAGUE;32,5;Appartement;32;1
;;;LA PORTE D ANDIN;71,4;Appartement;71;3
;10;SQ;DES GENETS;84,7;Appartement;76;4
;4;SQ;DE LA CANCHE;47,78;Appartement;47;2
;37;RUE;DU PETIT PARC;26,05;Appartement;27;1
;40;PTR;PETITE RUE VERTE;35,6;Appartement;35;2
;9;AV;PAUL CEZANNE;82,71;Appartement;83;4
;2;CLOS;DE L ERABLE;27,42;Appartement;27;1
;2;CLOS;DE L ERABLE;39,73;Appartement;45;2
;29;RUE;DE LA DIVISION LECLERC;35,95;Appartement;45;2
;953;RUE;DE LA DAUBERIE;78,83;Appartement;79;4
;4;SQ;DE LA CANCHE;101,69;Appartement;100;5
;24;RUE;DE BRUXELLES;64,77;Appartement;68;3
;18;RUE;SOPHIE DE GROUCHY;62,25;Appartement;61;3
;10;RUE;BOUGAINVILLE;79,45;Appartement;79;1
;65;RUE;G. LENOTRE;62,3;Appartement;63;3
;1;IMP;DE CAMARGUE;60,74;Appartement;61;3
;34;VC;LES NOUVEAUX HORIZONS;66,74;Appartement;66;3
;4;RES;LENOTRE;68,3;Appartement;68;3
;8;PL;DU MARCHE AU BLE;24,8;Appartement;28;2
;8;RUE;DES BAUX;46,39;Appartement;46;2
;32;RUE;DE CHARTRES;40,44;Appartement;39;2
;14;RUE;VINCENT VAN GOGH;58,07;Appartement;58;3
;32;RUE;JULES LADOUMEGUE;79,89;Maison;40;2
;19;RUE;CHASLES;18,74;Appartement;18;1
;1;RUE;SIMONE DE BEAUVOIR;46,4;Appartement;46;2
;27;RUE;BOUGAINVILLE;98,9;Maison;120;6
;48;RUE;DE LA PORTE ST MARTIN;72,46;Appartement;74;3
;31;AV;DU GEN LECLERC;20,04;Appartement;20;1
;7;RTE;DE CHOISEL;115,38;Appartement;115;4
;18;RUE;DU CHANCELIER K. ADENAUER;79,05;Appartement;78;3
;31;AV;DU GEN LECLERC;27,52;Appartement;27;2
;8;RUE;DU VENDELAIS;48;Appartement;48;2
;31;VC;LES NOUVEAUX HORIZONS;85,6;Appartement;85;4
;1;PL;D AUXOIS;46;Appartement;46;2
;16;RUE;DE LA MOTTE;48,33;Appartement;60;3
;1;RUE;DES CARDINAUX DE ROHAN;28,51;Appartement;22;1
;2;RES;LENOTRE;68,2;Appartement;68;3
;29;RUE;CHASLES;76,42;Appartement;77;3
;5;RTE;DE BOISSY;64,1;Appartement;65;2
;17;SQ;DES PERRAYADES;40,32;Appartement;50;2
;7;RUE;CLERICE;62,05;Appartement;60;3
;1;SQ;DES GENETS;80,25;Appartement;80;4
;4;SQ;DE LA MOSELLE;88,66;Appartement;89;3
;12;PL;DES HALLES;76,4;Appartement;90;4
;24;VC;LES NOUVEAUX HORIZONS;67,5;Appartement;68;3
;1;PL;D AUXOIS;25,38;Appartement;25;1
;3;RES;LES COUDRAYS;54,06;Appartement;54;2
;25;VC;LES NOUVEAUX HORIZONS;46,72;Appartement;46;2
;1;RUE;DE COPENHAGUE;70,67;Appartement;70;3
;6;PL;DE BRETAGNE;116,44;Appartement;102;4
;10;RUE;MONTABE;75,65;Appartement;68;4
;1;SQ;DU JURANCON;64,95;Appartement;65;3
;4;SQ;DU CLOS BRETON;139;Maison;120;6
;54;RUE;RAYMOND PATENOTRE;29,19;Appartement;29;1
;2;RUE;DU PRESSOIR;56,54;Appartement;90;4
;4;AV;DES NOES;61,51;Appartement;61;3
;6;PL;DE BRETAGNE;43,41;Appartement;42;2
;4;ALL;DE LA MEUSE;87,58;Appartement;87;4
;202;RUE;DE LA CHICAUDIERE;78,55;Maison;75;4
;8;RUE;ANTOINETTE VERNES;71,7;Appartement;78;3
;21;RUE;CHESNEAU;20,7;Appartement;15;1
;18;RUE;PHILIPPE DE CHAMPAIGNE;125,4;Appartement;90;4
;2;RUE;DE BUCAREST;20,6;Appartement;20;1
;25;RUE;PAUL CEZANNE;85,45;Appartement;84;4
;49;RUE;GAMBETTA;37,8;Appartement;38;1
;5;IMP;DE L OURCQ;71,2;Appartement;70;3
;9;RES;LENOTRE;68,35;Appartement;68;3
;9;RUE;G. LENOTRE;42;Appartement;45;2
;2;AV;DE VILLEDIEU;52,3;Appartement;52;2
;2;RUE;DE MAINCOURT;21,66;Appartement;23;1
;59;AV;DU MARECHAL LECLERC;43,76;Appartement;50;3
;7;PL;DU GRIMPEREAU;163,95;Maison;147;7
;1;RTE;DE VERSAILLES;46,2;Appartement;55;3
;75;RUE;DE PORT ROYAL;22,16;Appartement;24;1
;16;RUE;DE LA MOTTE;59,11;Appartement;63;2
;8;PTE;HENRI IV;12,25;Appartement;9;1
;34;AV;DE LIMAGNE;47,77;Appartement;45;2
;3;PL;DU SANCERROIS;67,88;Appartement;66;3
;39;AV;ANDRE LECLERC;31,19;Appartement;32;2
;9;SQ;DES GENETS;68,5;Appartement;64;3
;26;RUE;CHARLES MICHELS;40;Appartement;40;2
;8;RUE;G. LENOTRE;95,73;Appartement;95;7
;1;RUE;DU JEU DE PAUME;40,88;Appartement;41;4
;7;RUE;DU VAL DE LOIRE;103,98;Appartement;102;5
;33;RUE;GEORGES POMPIDOU;39,17;Appartement;44;2
;10;RUE;MAZIERES;57,57;Appartement;60;2
;4;AV;PAUL CEZANNE;66,14;Appartement;66;3
;3;RUE;DE LA FORET VERTE;41;Appartement;41;2
;1;ALL;DE LA MEUSE;87,62;Appartement;87;4
;13;RUE;DE LORRAINE;81,24;Appartement;84;5
;26;RUE;CHASLES;31,2;Appartement;33;1
;8;RUE;DE BRUXELLES;43,77;Appartement;43;2
;1;RUE;DU VERMOIS;96,05;Appartement;97;5
;40;RUE;D ANGIVILLER;20,7;Appartement;23;1
;8;RUE;DES SOURCES;124,75;Maison;111;5
;3;SQ;DES BRUYERES;68,17;Appartement;65;3
;1;RUE;DE BRUXELLES;18,29;Appartement;18;1
;7;PL;DES ARDENNES;75,23;Appartement;74;3
;10;SQ;DES GENETS;68,08;Appartement;64;3
;1;PL;DE L EUROPE;65,76;Appartement;65;3
;24;RUE;DU GENERAL DE GAULLE;63,02;Appartement;80;3
;36;RUE;DE CHARTRES;18,92;Appartement;19;1
;3;SQ;DES GENETS;67,84;Appartement;66;3
;2;RUE;DU CHATILLONNAIS;65,03;Appartement;63;3
;1;SQ;DU LYONNAIS;54,2;Appartement;53;2
;43;GR;GRANDE RUE;30,26;Appartement;28;1
;2;RUE;DU PRESSOIR;71,21;Appartement;57;2
;10;GR;GRANDE RUE;32,44;Appartement;40;2
;11;ALL;DU MOULIN NEUF;105,97;Maison;107;6
;14;PL;DES DOUVES;41,45;Appartement;45;2
;11;RES;DU PARC;86,25;Maison;68;4
;29;RUE;CHASLES;33,89;Appartement;33;1
;41;RUE;DE VERSAILLES;35,3;Maison;34;2
;19;RUE;DE LA TUILERIE;78,35;Maison;95;4
;11;RUE;DE BROSSARD;56,34;Appartement;52;2
;9;RUE;ALPHONSE DAUDET;67,52;Appartement;64;3
;4;RUE;FRANCOIS COUPERIN;65,79;Appartement;71;3
;2;RUE;PAUL FRANCOIS PROUST;73,4;Appartement;115;3
;7;RUE;DU PRIEURE ST MARTIN;65,65;Appartement;65;4
;18;RUE;DES ALBIZZIAS;64,36;Appartement;64;3
;1;RUE;MARCEL PAUL;92,38;Appartement;83;3
;25;AV;DU GENERAL FAUCHER;82;Appartement;82;5
;12;RUE;YVER;56,25;Appartement;74;2
;15;RUE;DU CHATEAU;71,38;Appartement;60;2
;6;ALL;JEAN SAUVAGET;21,25;Appartement;21;1
;30;RUE;E PROUST CHAUMETTE;74,69;Appartement;77;4
;11;SQ;PLAISANCE;65,15;Appartement;65;4
;35;RUE;DE GENEVE;55,42;Appartement;50;2
;32;AV;GAMBETTA;89,87;Appartement;88;3
;11;RUE;EMILE LITTRE;62,08;Maison;62;3
;12;RUE;DE L ARSENAL;146,96;Appartement;138;7
;4;PL;DES CAPUCINS;41,92;Appartement;41;2
;2;RUE;DE CHACHON;18,44;Appartement;18;1
;78;RUE;JEAN JAURES;71,87;Appartement;72;4
;26;RUE;DU PETIT BANC;42,43;Appartement;41;1
;1;ALL;LOUIS MICHEL VAN LOO;85,71;Maison;84;4
;20;AV;DE PARIS;82,79;Appartement;82;3
;22;ALL;DES CORMIERS;57,68;Appartement;57;3
;14;RUE;SARRAZINE;49,55;Appartement;51;3
;30;RUE;BASSE;73,17;Appartement;68;3
;10;RUE;DES CORDELIERS;46,72;Appartement;49;2
;57;RUE;DU MOULIN A VENT;19,2;Appartement;20;1
;53;RUE;TARTIFUME;86,3;Appartement;105;4
;9;RUE;DES CANNETTES;26,1;Appartement;29;1
;5;RUE;DES TROIS PAVILLONS;126,73;Appartement;123;4
;23;RUE;SAINT GERMAIN;19,97;Appartement;20;1
;10;RUE;POINTIN;24,8;Appartement;25;1
;103;RUE;DELPECH;32;Appartement;35;2
;136;RUE;SAINT ACHEUL;87,66;Appartement;92;4
;4;RUE;ALBERT GAILLARD;54,95;Appartement;54;3
;2;RUE;D ELBEUF;39,24;Appartement;44;2
;12;RUE;MARTIN BLEU DIEU;34,99;Appartement;35;1
;11;CHE;DE LA VALLEE;126,79;Maison;110;7
;15;RUE;PHILIPPE DE COMMYNES;124,96;Appartement;127;5
;77;RUE;DE VIGNACOURT;35,61;Appartement;39;2
;8;RUE;DE L ENCLOS;46,39;Appartement;46;2
;4;AV;LOUIS BLANC;66,33;Appartement;65;3
;24;BD;DU CANGE;15,58;Appartement;20;1
;15;RUE;RAPHAEL;119,34;Maison;97;5
;22;BD;GARIBALDI;29,84;Appartement;30;2
;52;ALL;DE LA SIXIEME HEURE;94,4;Maison;94;5
;8;RUE;MONTESQUIEU;22,04;Appartement;19;1
;3;RUE;SYLVIUS;13,2;Appartement;13;1
;22;RUE;DE LA REPUBLIQUE;94,68;Maison;87;4
;40;RUE;BERNARD CUMINAL;79,91;Maison;81;4
;9001;RUE;DU MONSOREAU LE MONSOREAU;68,03;Appartement;67;4
;52;RUE;DU DON;42,45;Appartement;42;2
;7;CHE;DE LA VALLEE;137,1;Maison;141;7
;29;CHS;JULES FERRY;14,43;Appartement;18;1
;3;RUE;AGRIPPA D AUBIGNE;100,24;Appartement;100;4
;9001;RUE;DU MONSOREAU LE MONSOREAU;68,25;Appartement;67;4
;2;RUE;ANDRE;65,6;Appartement;70;2
;5;RUE;CAPPERONNIER;69,84;Appartement;81;4
;31;RUE;DE SLOVAQUIE;48,16;Appartement;49;2
;11;RUE;JEAN FROISSART;18,79;Appartement;19;1
;3;RUE;RAINFROY;51,67;Appartement;53;2
;9;RUE;DES JACOBINS;23,07;Appartement;22;2
;95;RUE;JEANNE D ARC;25;Appartement;21;2
;23;RUE;ANDRE;45,56;Appartement;46;2
;5;RUE;HENRI IV;54,2;Appartement;52;2
;91;RUE;D ELBEUF;67,1;Appartement;66;4
;9003;CHE;MONT THOMAS;70;Appartement;69;4
;1;RUE;SIRE FIRMIN LEROUX;68,09;Appartement;69;2
;19;RUE;LAMARTINE;30,07;Appartement;34;2
;170;RUE;RIOLAN;129,25;Maison;132;5
;9062;RUE;DES PLATANES;55,1;Appartement;55;3
;15;RUE;DE VERDUN;72,11;Appartement;71;3
;9;RUE;CAUDRON;77,65;Appartement;78;3
;11;PL;DE L HOTEL DE VILLE;33,19;Appartement;32;2
;6;RUE;JEAN XXIII;40,35;Appartement;39;2
;48;RUE;JEAN MARC LAURENT;84,07;Maison;85;4
;51;RUE;ROUSSEAU;96,18;Maison;93;5
;3;RUE;CHATEAUBRIAND;83,92;Appartement;84;4
;13;RUE;JEAN FROISSART;61,26;Appartement;61;2
;15;ALL;PASTEL;91,12;Maison;90;4
;8;RUE;EMILE DEBRIE;27,44;Appartement;29;1
;97;RUE;DE L ABBAYE;68,31;Appartement;70;3
;3;ALL;DES NYMPHEAS;53,79;Appartement;54;2
;2;RUE;JEAN XXIII;28,66;Appartement;30;1
;7;RUE;DES ORFEVRES;48;Appartement;48;2
;9;AV;DES MESANGES;95;Maison;85;4
;77;RUE;DES JACOBINS;121,01;Appartement;114;2
;219;RUE;GAULTHIER DE RUMILLY;25,29;Appartement;30;2
;83;RUE;ENGUERRAND;19,68;Appartement;20;1
;2;RUE;VAQUETTE;15,52;Appartement;19;1
;95;RUE;JEANNE D ARC;24,5;Appartement;28;1
;14;RUE;DES DEPORTES;43,49;Appartement;43;2
;8;RUE;DUTHOIT;65,2;Appartement;66;3
;86;RUE;LEON DUPONTREUE;66,78;Appartement;66;3
;10;RUE;DU BATONNIER MAHIU;62,7;Appartement;62;2
;893;AV;DE LA PLAGE;39;Appartement;42;3
;9007;;PLAINE DU ROYON;43,27;Appartement;44;3
;27;RUE;DE LA PAIX;33,7;Appartement;33;2
;77;RUE;DE MAYOCQ;87,02;Maison;85;4
;890;BD;DU GENERAL SIZAIRE;37,5;Appartement;40;1
;13;RUE;DU BOURG;239,41;Appartement;86;3
;2;RUE;DE PARIS;37,8;Appartement;39;2
;2;RUE;FLORENTIN LEFILS;80,52;Maison;80;4
;9018;PROM;JULES NOIRET;56,76;Appartement;70;3
;2;PL;JEAN JAURES;49,8;Appartement;48;2
;24;AV;PAUL DOUMER;12,24;Appartement;30;2
;9;RUE;DU BOURG;36,74;Appartement;41;2
;45;TSSE;MARCEL VASSEUR;33,08;Appartement;45;3
;43;RES;LES MAISONS DE LA PLAGE;33,5;Maison;33;2
;27;RUE;MARCEL HOLLEVILLE;19;Appartement;25;2
;9009;;OREE DES PINS;55,21;Appartement;52;3
;616;AV;DE LA PLAGE;33;Appartement;35;2
;2;RUE;DU 8 MAI;17,11;Maison;16;1
;2;PL;JEAN JAURES;41,2;Appartement;45;2
;45;GR;GRANDE RUE;11,82;Appartement;12;1
;7;GR;GRANDE RUE;39,87;Appartement;42;2
;9001;;OREE DES PINS;43,18;Maison;48;3
;4;PL;GEORGES CLEMENCEAU;114,73;Maison;105;5
;1;RUE;DU PHARE;57,45;Appartement;54;4
;9001;RUE;DE ROUTEQUEUE;76,53;Appartement;80;3
;95;RUE;DE SAINT VALERY;19,02;Appartement;19;2
;35;RLE;DU BEFFROI;42,2;Appartement;55;2
;6;RUE;DE L EGLISE;44;Appartement;49;2
;4;RUE;RINGOIS;52,53;Appartement;60;3
;270;CHS;D'HOCQUET;38,5;Appartement;38;1
;19;RUE;ROGER SALENGRO;37,4;Appartement;40;2
;40;ESP;DU GENERAL LECLERC;89,87;Appartement;100;3
;4;RUE;DUMONT;52,04;Appartement;51;1
;27;RUE;LEDIEN;48,5;Appartement;48;2
;35;RUE;FLORENT TRIQUET;48,78;Appartement;51;3
;6;RUE;GROS;53,5;Appartement;53;3
;5291;RUE;GROS;29,86;Appartement;32;1
;33;RUE;DE LA RAFALE;42,66;Appartement;42;2
;5;PL;COURBET;22,59;Appartement;23;1
;92;RUE;DE SAINT VALERY;4,47;Appartement;47;4
;575;RUE;DU GAL DE GAULLE;21,77;Appartement;21;1
;35;RUE;FLORENT TRIQUET;35,03;Appartement;37;2
;30;RUE;SAINT GILLES;37,69;Appartement;39;2
;760;BD;DU GENERAL SIZAIRE;29,23;Appartement;29;2
;3;PL;MAX LEJEUNE;38,4;Appartement;39;2
;27;RUE;LEDIEN;47,5;Appartement;47;2
;20;RUE;DE SAINT VALERY;39,31;Appartement;39;3
;6;RUE;ANDRE DUMONT;23,11;Appartement;25;1
;786;AV;DE LA PLAGE;28,7;Appartement;29;1
;1023;RUE;DU CHANTIER;28,59;Appartement;29;1
;11;RTE;DE DOULLENS;65,9;Maison;60;3
;9002;RUE;DE LA MER;37,4;Appartement;39;2
;4;AV;GASTON CAUDRON;51,15;Appartement;52;3
;9;RLE;DE LA GRANDE RUE;29,18;Appartement;29;2
;21;RUE;ROGER SALENGRO;74,92;Appartement;70;4
;12;RUE;DES FONTS BENITS;27,3;Appartement;32;2
;10;RUE;CLEMENCEAU;24,6;Appartement;26;1
;77;RUE;DE MAYOCQ;30,24;Maison;31;2
;270;CHS;D HOCQUET;58,2;Appartement;57;2
;3;RUE;A BOREL;31,38;Appartement;32;2
;14;RUE;SADI CARNOT;42,56;Appartement;36;2
;2;AV;ARISTIDE BRIAND;92,07;Appartement;94;5
;1;RUE;MEURISSE;69,21;Maison;87;2
;15;RUE;SAINT MEDARD;61,27;Appartement;62;3
;4;RLE;DES FILLES;121,2;Maison;102;5
;15;RUE;SAINT MEDARD;46,9;Appartement;47;2
;19;LOT;LES BORDS DE NOYE;89,22;Maison;82;5
;110;AV;DU GENERAL LECLERC;57,4;Maison;54;2
;8;RUE;HOCHE;149,19;Appartement;48;1
;7;RUE;DE LA STATION;40,07;Appartement;38;2
;42;RUE;DES ILLIEUX;27,73;Appartement;28;1
;12;RUE;JEAN GUYON;36;Appartement;32;1
;7;RUE;DES JONCS;39,35;Appartement;39;1
;28;RUE;GEORGES CLEMENCEAU;44,16;Appartement;48;1
;40;RUE;DES ILLIEUX;57,99;Appartement;57;3
;68;AV;COLONEL TEYSSIER;91,15;Appartement;92;4
;6;AV;JULES FERRY;60,4;Appartement;51;3
;1;RUE;LEOPOLD VAREIL;58,87;Appartement;58;3
;10;AV;PRESIDENT KENNEDY;18,45;Appartement;18;1
;20;RUE;DE LA REPUBLIQUE;78,77;Appartement;78;3
;1;RUE;LEOPOLD VAREIL;65,96;Appartement;64;3
;95;RUE;RINALDI;57,64;Appartement;58;3
;101;RUE;DE CANTEPAU;63,05;Appartement;63;3
;55;RUE;MARCEL RICARD;57,51;Appartement;59;3
;9001;RES;DU PONT MIREDAMES;69,53;Appartement;70;4
;32;RUE;DE LA TOLOSANE;22,18;Appartement;22;1
;9;RUE;WALDECK ROUSSEAU;71,7;Appartement;74;3
;12;RUE;COMMANDANT WAUTHIER;61,28;Appartement;61;3
;1;RTE;DE NAVES;47,54;Appartement;46;2
;3;RUE;DE LA LIBERATION;105,77;Appartement;99;3
;7;RUE;SAINT BENOIT;49,2;Appartement;50;3
;9;IMP;VIVIANI;114,23;Appartement;110;4
;519;RTE;DE GARRIGUES;62,02;Maison;62;3
;46;RUE;DE METZ;18,4;Appartement;18;1
;3;FG;DE PLAISANCE;69,42;Appartement;67;3
;7;AV;DU DOCTEUR ROUANET;67,19;Appartement;67;4
;30;RUE;DE LA COMEDIE;48,4;Appartement;52;2
;618;RTE;DE MEAUZAC;56,05;Appartement;56;3
;29;RUE;DES LILAS;71,05;Maison;71;3
;10;RUE;PIERRE MENDES FRANCE;66,83;Appartement;70;3
;4;RUE;D ELIE;120,45;Appartement;114;4
;43;RUE;HENRI TOURNIE;89,67;Appartement;86;5
;16;LOT;LES BASTIDES DE GILLAC;81,75;Maison;72;4
;31;CHE;DE SAINT JEAN DES VIGNES;35,61;Appartement;36;2
;97;AV;MARCEAU HAMECHER;102,79;Appartement;95;5
;56;BD;GUSTAVE GARRISSON;23,35;Appartement;24;1
;10;RUE;WINSTON CHURCHILL;84,44;Appartement;86;4
;;RUE;DES ECUREUILS;45,82;Appartement;46;2
;4;RUE;LAGRAVERE;73,9;Appartement;74;3
;10;RUE;DE LA COMEDIE;21,51;Appartement;21;1
;2;RUE;DES FRERES PONCELET;35,45;Appartement;35;2
;980;CHE;DE LONG;40,39;Appartement;40;2
;1;RUE;GEORGES BRASSENS;62,01;Appartement;62;3
;12;RUE;LARRAMET;71,92;Appartement;70;3
;745;CC;DE LA MARGUE;25,68;Appartement;26;1
;400;RUE;HENRI LAPAUZE;84,97;Appartement;86;5
;7;RUE;DU DOCTEUR LABAT;17,36;Appartement;24;1
